Barrio,Censo (1),Abstención,Total,Nulos,Total no nulos,Blanco,Total no nulos no blancos,PACMA,MAS MADRID,P.S.O.E.,PH,ULEG,Cs,FE de las JONS,PCAS-TC,PUM+J,P-LIB,P.P. ,PCTE,VOX,UPyD,PODEMOS-IU
101,12507,4595,7912,32,7880,24,7856,43,1621,2406,6,1,1287,3,1,9,1,1353,6,607,10,502
102,29419,11053,18366,79,18287,66,18221,144,3539,5185,16,2,2784,6,15,25,15,3909,13,1273,36,1259
103,25877,8960,16917,81,16836,67,16769,106,2934,4799,8,6,2780,7,15,13,10,3823,6,1078,15,1169
104,49200,15588,33612,147,33465,139,33326,188,5167,9743,20,6,5347,22,44,57,12,8546,30,2372,27,1745
105,13509,4190,9319,54,9265,43,9222,68,1238,2011,3,1,1643,11,10,9,2,2712,8,1092,18,396
106,4001,1277,2724,11,2713,5,2708,18,514,734,3,0,698,0,4,1,0,344,3,231,7,151
107,39796,12083,27713,134,27579,106,27473,175,4584,8615,16,14,4356,14,22,42,11,5809,16,2158,38,1603
111,16262,5928,10334,52,10282,48,10234,49,1862,2926,2,2,1627,7,6,8,2,2280,7,792,16,648
112,22769,8444,14325,58,14267,55,14212,90,2680,4180,4,2,2287,16,18,20,2,3067,12,1035,14,785
113,26715,11001,15714,78,15636,75,15561,102,3048,4812,11,3,2308,16,16,23,6,3061,14,1070,19,1052
114,31087,12207,18880,107,18773,92,18681,93,3146,5650,5,1,2767,11,20,13,9,4440,12,1426,27,1061
115,22651,9661,12990,51,12939,56,12883,102,2190,4156,10,2,1979,13,20,15,7,2514,13,1011,21,830
116,31621,10376,21245,92,21153,116,21037,138,3997,6309,11,4,4198,13,33,23,4,3321,16,1610,37,1323
117,20190,8070,12120,64,12056,49,12007,95,2009,3855,8,2,1954,7,22,8,6,2345,8,956,16,716
121,16932,6040,10892,50,10842,49,10793,86,3023,3539,4,1,1605,4,14,8,1,1147,4,653,11,693
122,9534,4607,4927,27,4900,19,4881,45,1121,1777,3,0,679,4,6,4,0,598,10,323,7,304
123,15171,6267,8904,44,8860,45,8815,63,1738,2980,6,4,1426,5,11,13,6,1287,6,663,11,596
124,12976,5849,7127,24,7103,33,7070,53,1307,2348,4,2,1143,7,5,8,1,1332,27,438,8,387
125,16551,6555,9996,45,9951,37,9914,79,1878,3044,2,1,1456,7,13,9,12,2077,19,660,15,642
126,9082,3710,5372,19,5353,25,5328,46,1118,1803,5,1,756,1,7,2,4,847,4,321,4,409
127,9765,4820,4945,19,4926,14,4912,25,858,1755,4,3,636,3,14,7,1,937,4,358,3,304
131,24726,11084,13642,62,13580,50,13530,110,2877,5538,13,6,1455,11,13,16,4,1317,16,702,12,1440
132,25038,12190,12848,46,12802,56,12746,105,2838,4594,8,4,1529,11,12,22,9,1607,34,738,11,1224
133,29568,10031,19537,98,19439,96,19343,133,4890,6659,8,2,2422,8,19,12,7,2162,24,826,23,2148
134,31979,12088,19891,84,19807,85,19722,156,4646,7316,9,4,2674,9,19,14,4,1938,21,1065,16,1831
135,20722,8442,12280,58,12222,53,12169,83,2974,4244,4,1,1422,9,16,10,5,1640,13,676,13,1059
136,32208,13353,18855,100,18755,74,18681,143,3906,6331,17,5,2486,15,26,22,11,2902,20,1135,18,1644
141,7030,2273,4757,23,4734,22,4712,30,874,1620,1,1,799,4,3,5,1,749,2,332,5,286
142,4831,1269,3562,14,3548,24,3524,9,653,1020,0,0,862,2,2,7,4,530,2,255,5,173
143,22629,5692,16937,56,16881,98,16783,90,2622,4667,5,0,3170,11,12,18,3,4213,5,1126,20,821
144,14248,4462,9786,35,9751,49,9702,58,1513,2621,0,2,1679,9,9,15,7,2535,14,704,5,531
145,12781,4801,7980,26,7954,30,7924,60,1527,2520,4,1,1133,3,2,9,6,1589,8,518,15,529
146,13200,4024,9176,53,9123,34,9089,62,1479,2799,3,4,1411,4,5,16,6,2119,8,553,4,616
151,35252,12855,22397,117,22280,95,22185,176,3685,6660,8,1,3809,16,10,22,7,4991,17,1508,20,1255
152,44525,16248,28277,135,28142,125,28017,180,4850,8580,15,4,4949,13,28,20,8,5967,24,1839,37,1503
153,17730,6390,11340,51,11289,54,11235,91,1852,3117,2,3,2059,8,9,16,11,2607,8,853,16,583
154,15688,4999,10689,49,10640,56,10584,73,1626,2661,3,1,2224,6,3,14,5,2607,11,872,9,469
155,14372,3775,10597,41,10556,50,10506,60,1406,2699,5,0,2253,5,14,6,3,2778,7,825,11,434
156,9381,2129,7252,12,7240,38,7202,30,865,1477,1,0,1738,4,2,8,1,2215,3,629,9,220
157,4767,1155,3612,9,3603,12,3591,21,406,754,1,1,894,0,1,5,1,1042,2,361,5,97
158,1134,298,836,1,835,1,834,5,40,148,0,0,194,1,1,3,0,366,0,60,0,16
159,17202,3873,13329,28,13301,57,13244,33,839,1898,2,1,3439,10,3,24,3,5032,5,1744,11,200
161,4703,1025,3678,7,3671,19,3652,11,257,479,1,0,1094,1,1,5,3,1286,0,448,4,62
162,10170,2370,7800,8,7792,25,7767,25,657,1172,3,0,2197,1,0,5,2,2745,1,785,7,167
163,32115,8891,23224,82,23142,88,23054,128,3585,6736,16,4,4843,9,11,14,9,4995,9,1561,19,1115
164,40897,12960,27937,112,27825,110,27715,179,4109,8300,106,2,5322,20,13,22,9,6012,25,2228,20,1348
165,12037,3945,8092,34,8058,27,8031,54,1205,2142,4,1,1678,3,4,5,3,1759,4,799,31,339
166,36976,8972,28004,70,27934,100,27834,123,3026,4962,5,2,9248,14,7,26,9,6697,14,2921,25,755
171,29944,12395,17549,96,17453,69,17384,126,3210,6436,11,10,2449,14,22,22,14,2555,52,1157,15,1291
172,8524,4875,3649,28,3621,17,3604,31,644,1467,5,1,399,2,7,14,2,494,6,224,4,304
173,11800,4224,7576,19,7557,30,7527,68,1701,2402,5,1,1468,5,3,5,1,697,10,574,18,569
174,25134,9292,15842,75,15767,88,15679,111,3023,5664,5,7,2512,15,36,10,6,2264,17,957,24,1028
